valuation_10k_fy,accident_year,incurred_usd_000,ibnr_usd_000,reported_incurred_minus_ibnr_usd_000,cumulative_reported_claims
2016,2014,90267,46232,44035,1909
2016,2015,113417,76090,37327,2046
2016,2016,138507,120959,17548,1873
2017,2014,82232,23241,58991,2024
2017,2015,104847,46275,58572,2292
2017,2016,125093,77940,47153,2468
2017,2017,144349,123432,20917,2052
2018,2014,84074,12440,71634,2106
2018,2015,102434,21215,81219,2434
2018,2016,126050,44649,81401,2754
2018,2017,131897,79836,52061,2630
2018,2018,167004,135018,31986,3242
2019,2014,88904,9855,79049,2162
2019,2015,103688,7681,96007,2531
2019,2016,126971,23882,103089,2933
2019,2017,132136,53525,78611,2898
2019,2018,158458,95477,62981,3935
2019,2019,214653,178172,36481,4038
2020,2014,90191,6804,83387,2198
2020,2015,110466,5409,105057,2587
2020,2016,125097,15213,109884,3023
2020,2017,124265,29548,94717,3085
2020,2018,146633,52940,93693,4267
2020,2019,194759,123212,71547,4950
2020,2020,239897,206389,33508,3115
2021,2014,90944,4040,86904,2225
2021,2015,114398,5543,108855,2636
2021,2016,132235,10541,121694,3102
2021,2017,128674,14307,114367,3197
2021,2018,150687,31961,118726,4465
2021,2019,189671,77244,112427,5417
2021,2020,211732,128364,83368,4442
2021,2021,304435,252419,52016,2964
2022,2014,91391,1446,89945,2255
2022,2015,116085,2250,113835,2668
2022,2016,135491,3187,132304,3167
2022,2017,134272,5842,128430,3261
2022,2018,151563,16626,134937,4561
2022,2019,188061,34591,153470,5834
2022,2020,207210,74904,132306,5071
2022,2021,286343,180621,105722,4151
2022,2022,340436,301739,38697,2694
2023,2014,94877,1888,92989,2278
2023,2015,118599,3198,115401,2706
2023,2016,141242,4198,137044,3285
2023,2017,147196,9122,138074,3322
2023,2018,167237,19021,148216,4728
2023,2019,204844,30925,173919,6143
2023,2020,231658,63022,168636,5590
2023,2021,274120,123776,150344,4803
2023,2022,293402,198836,94566,4185
2023,2023,369255,337417,31838,2712
2024,2015,122048,4065,117983,2739
2024,2016,148400,6758,141642,3807
2024,2017,155593,9949,145644,4963
2024,2018,173186,12942,160244,6156
2024,2019,228076,29201,198875,7284
2024,2020,273883,59368,214515,6980
2024,2021,307338,104355,202983,6074
2024,2022,320146,145381,174765,5628
2024,2023,330330,232184,98146,4456
2024,2024,360426,330304,30122,2885
2025,2016,151612,4913,146699,3440
2025,2017,158714,6707,152007,3436
2025,2018,180931,11383,169548,5056
2025,2019,237568,19165,218403,6758
2025,2020,296540,41965,254575,6938
2025,2021,321722,75267,246455,5526
2025,2022,342533,111556,230977,5308
2025,2023,335617,168378,167239,4663
2025,2024,345686,264885,80801,3462
2025,2025,351985,328296,23689,2105
