accident_year,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10
2016,5180,22852,46045,70105,90166,102072,116059,126916,133928,141710
2017,5290,22956,42764,64924,81303,102866,120229,132182,141347,
2018,6000,26160,50679,76494,105538,124903,138319,155337,,
2019,8235,31346,62227,103836,136289,166472,191455,,,
2020,8642,34561,73106,117892,168550,211509,,,,
2021,11693,55070,100649,154168,204642,,,,,
2022,12713,51537,108960,177429,,,,,,
2023,10927,49094,109278,,,,,,,
2024,11096,48871,,,,,,,,
2025,8824,,,,,,,,,
