company,accident_year,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10
KNSL,2016,61440,55680,53549,55534,57401,60861,64612,65323,65025,65469
KNSL,2017,71126,67151,68985,70641,71117,69911,76715,79203,81696,
KNSL,2018,86157,78331,78386,83952,93215,97005,101939,103208,,
KNSL,2019,112266,109994,108138,107480,115681,120003,124190,,,
KNSL,2020,154619,136212,131082,135045,140203,142565,,,,
KNSL,2021,200598,190879,193722,204787,206475,,,,,
KNSL,2022,272692,271399,287977,292377,,,,,,
KNSL,2023,372245,372413,379978,,,,,,,
KNSL,2024,490719,489026,,,,,,,,
KNSL,2025,581722,,,,,,,,,
RLI,2016,101950,96753,90611,85449,83374,79440,77729,78358,77669,77108
RLI,2017,119741,111391,102583,95513,90759,90344,90744,91238,93142,
RLI,2018,141513,130281,125731,115076,114414,115793,118084,119149,,
RLI,2019,146011,135209,120570,109051,111156,112638,113624,,,
RLI,2020,145171,137439,122785,117962,114336,112488,,,,
RLI,2021,142797,128483,125672,123363,124464,,,,,
RLI,2022,155203,144861,143518,148462,,,,,,
RLI,2023,152443,147366,146247,,,,,,,
RLI,2024,160008,152141,,,,,,,,
RLI,2025,163478,,,,,,,,,
SKWD,2016,63223,62843,62843,62643,84579,84579,84829,84829,85434,85098
SKWD,2017,65332,65332,64260,78166,78166,78766,78766,80493,79819,
SKWD,2018,74476,74476,69319,71719,73019,73019,75686,72963,,
SKWD,2019,107432,109226,112378,115530,116230,116206,110564,,,
SKWD,2020,113030,124076,128111,132495,132125,134281,,,,
SKWD,2021,156067,158891,160331,160546,157006,,,,,
SKWD,2022,236909,242097,242358,249317,,,,,,
SKWD,2023,306511,306511,320637,,,,,,,
SKWD,2024,353933,336197,,,,,,,,
SKWD,2025,356590,,,,,,,,,
BOW,2021,14248,13640,16003,16066,17025,,,,,
BOW,2022,55606,58427,62535,60198,,,,,,
BOW,2023,93028,97808,97983,,,,,,,
BOW,2024,156132,158184,,,,,,,,
BOW,2025,213579,,,,,,,,,
MKL,2016,1957.8,1955.0,1823.3,1755.4,1730.9,1710.7,1718.0,1778.8,1758.3,1769.1
MKL,2017,2547.4,2406.9,2278.6,2230.6,2206.9,2232.5,2310.4,2353.9,2356.6,
MKL,2018,2407.9,2298.4,2169.6,2125.5,2222.6,2344.7,2424.9,2427.2,,
MKL,2019,2608.5,2466.2,2356.5,2384.6,2511.7,2527.5,2551.9,,,
MKL,2020,3141.3,2879.2,2840.5,2821.0,2817.0,2848.4,,,,
MKL,2021,3039.0,2930.0,2854.4,2792.2,2758.7,,,,,
MKL,2022,3591.3,3315.1,3320.1,3358.4,,,,,,
MKL,2023,4221.7,3743.4,3684.5,,,,,,,
MKL,2024,4268.1,3708.0,,,,,,,,
MKL,2025,4396.6,,,,,,,,,
